Date,Open,High,Low,Close
2016-06-01,1216.642,1220.36,1205.909,1213.479
2016-06-02,1213.48,1217.63,1206.9,1207.909
2016-06-03,1207.968,1244.68,1207.489,1243.848
2016-06-04,1243.848,1243.848,1243.848,1243.848
2016-06-05,1242.879,1248.13,1242.079,1248.089
2016-06-06,1248.129,1248.629,1239.92,1244.802
2016-06-07,1244.869,1246.52,1234.771,1243.87
2016-06-08,1243.87,1266.26,1242.979,1264.789
2016-06-09,1264.799,1271.632,1256.761,1265.69
2016-06-10,1265.679,1278.09,1264.509,1272.838
2016-06-11,1272.838,1272.838,1272.838,1272.838
2016-06-12,1275.448,1278.281,1274.328,1277.588
2016-06-13,1277.581,1287.142,1272.352,1282.57
2016-06-14,1282.58,1289.772,1276.228,1284.39
2016-06-15,1284.389,1296.749,1278.428,1293.639
2016-06-16,1293.649,1315.53,1276.902,1281.96
2016-06-17,1281.981,1299.441,1276.53,1297.559
2016-06-18,1297.559,1297.559,1297.559,1297.559
2016-06-19,1289.379,1292.219,1280.979,1289.26
2016-06-20,1289.17,1291.11,1277.969,1287.889
2016-06-21,1287.89,1294.189,1264.478,1268.95
2016-06-22,1268.949,1270.559,1259.52,1262.629
2016-06-23,1262.629,1271.839,1250.179,1267.251
2016-06-24,1267.251,1358.229,1264.029,1315.43
2016-06-25,1315.43,1315.43,1315.43,1315.43
2016-06-26,1321.238,1335.289,1321.138,1332.669
2016-06-27,1332.609,1333.61,1317.629,1324.562
2016-06-28,1324.56,1325.91,1305.458,1313.929
2016-06-29,1313.93,1327.802,1313.298,1315.918
2016-06-30,1315.989,1326.629,1312.789,1321.72
2016-07-01,1321.719,1344.48,1320.518,1340.511
2016-07-02,1340.511,1340.511,1340.511,1340.511
2016-07-03,1341.38,1344.898,1335.941,1342.759
2016-07-04,1342.8,1357.439,1340.32,1349.49
2016-07-05,1349.489,1364.64,1338.039,1362.549
2016-07-06,1362.56,1375.081,1359.759,1366.279
2016-07-07,1366.28,1370.692,1350.789,1360.921
2016-07-08,1360.929,1370.34,1335.419,1365.778
2016-07-09,1365.778,1365.778,1365.778,1365.778
2016-07-10,1367.578,1375.02,1366.83,1369.839
2016-07-11,1369.821,1371.219,1350.83,1354.228
2016-07-12,1354.3,1357.668,1330.312,1333.789
2016-07-13,1333.79,1346.648,1327.548,1345.458
2016-07-14,1345.579,1347.061,1320.201,1335.299
2016-07-15,1335.319,1338.63,1322.498,1336.629
2016-07-16,1336.629,1336.629,1336.629,1336.629
2016-07-17,1332.618,1334.43,1329.888,1332.699
2016-07-18,1332.808,1335.47,1323.461,1328.788
2016-07-19,1328.769,1334.926,1325.579,1332.868
2016-07-20,1332.868,1338.349,1312.539,1312.778
2016-07-21,1312.758,1333.83,1310.759,1332.29
2016-07-22,1332.329,1333.41,1319.628,1321.688
2016-07-23,1321.688,1321.688,1321.688,1321.688
2016-07-24,1322.679,1323.29,1320.169,1323.2
2016-07-25,1323.189,1323.71,1311.971,1316.029
2016-07-26,1316.119,1324.488,1313.759,1319.029
2016-07-27,1318.999,1342.418,1315.762,1339.62
2016-07-28,1339.628,1345.528,1332.439,1335.989
2016-07-29,1336.041,1354.998,1328.462,1350.078
2016-07-30,1350.078,1350.078,1350.078,1350.078
2016-07-31,1349.338,1351.04,1346.999,1349.039
2016-08-01,1349.039,1354.849,1346.229,1352.72
2016-08-02,1352.698,1367.198,1347.108,1363.019
2016-08-03,1363.019,1366.45,1354.181,1356.128
2016-08-04,1356.14,1364.948,1349.1,1360.129
2016-08-05,1360.129,1364.649,1334.718,1335.128
2016-08-06,1335.128,1335.128,1335.128,1335.128
2016-08-07,1335.348,1335.348,1331.349,1333.469
2016-08-08,1333.469,1338.249,1329.868,1335.959
2016-08-09,1335.929,1342.898,1330.579,1341.789
2016-08-10,1341.789,1357.16,1340.678,1347.499
2016-08-11,1347.508,1353.279,1335.728,1339.339
2016-08-12,1339.339,1356.339,1333.309,1335.318
2016-08-13,1335.318,1335.318,1335.318,1335.318
2016-08-14,1338.029,1339.429,1336.579,1338.979
2016-08-15,1338.98,1343.808,1335.749,1341.038
2016-08-16,1341.029,1358.009,1340.529,1347.788
2016-08-17,1347.7,1352.939,1335.91,1352.178
2016-08-18,1352.159,1356.049,1346.038,1350.109
2016-08-19,1350.059,1351.158,1337.738,1340.899
2016-08-20,1340.899,1340.899,1340.899,1340.899
2016-08-21,1340.351,1340.811,1334.879,1337.38
2016-08-22,1337.379,1340.03,1331.69,1337.659
2016-08-23,1337.659,1344.63,1335.289,1337.908
2016-08-24,1337.898,1340.062,1323.369,1325.919
2016-08-25,1325.868,1326.959,1318.009,1322.058
2016-08-26,1322.069,1342.161,1318.328,1320.609
2016-08-27,1320.609,1320.609,1320.609,1320.609
2016-08-28,1319.971,1321.358,1318.318,1320.628
2016-08-29,1320.688,1325.068,1314.872,1323.748
2016-08-30,1323.76,1325.43,1309.229,1312.179
2016-08-31,1312.171,1316.088,1304.358,1309.601
2016-09-01,1309.601,1315.109,1302.452,1314.338
2016-09-02,1314.348,1330.089,1303.118,1324.608
2016-09-03,1324.608,1324.608,1324.608,1324.608
2016-09-04,1323.899,1325.019,1322.508,1322.629
2016-09-05,1322.618,1328.538,1321.759,1327.228
2016-09-06,1327.249,1352.519,1324.85,1349.019
2016-09-07,1349.02,1352.558,1341.789,1344.209
2016-09-08,1344.219,1349.33,1335.521,1337.218
2016-09-09,1337.239,1339.499,1327.129,1327.509
2016-09-10,1327.509,1327.509,1327.509,1327.509
